"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S2","I57","+","+","-","-","-","+","+","+","-","-","+","+","+","+","+","+","+","-","-","-","-","-","-","-","-","+","+","-","+"
"S3","I57","+","+","-","+","+","+","-","-","+","+","-","-","+","-","-","-","+","+","-","-","-","-","-","+","-","+","+","+","-"
"S4","I57","-","-","-","+","-","-","-","+","-","-","-","-","-","+","+","-","-","-","+","-","-","-","+","-","-","+","+","-","-"
"S5","I57","+","+","+","+","+","+","-","-","-","+","+","-","-","-","+","-","+","+","+","+","-","-","+","+","-","+","-","+","-"
"S1","I58","-","+","-","-","+","-","-","-","+","-","+","+","-","+","-","+","-","-","-","+","+","-","-","-","-","-","-","+","+"
"S2","I58","+","-","-","+","+","+","+","-","-","-","+","-","-","+","+","+","-","+","-","+","+","-","-","+","+","-","+","-","+"
"S3","I58","+","-","-","-","-","-","+","+","+","-","-","-","-","-","+","-","-","-","-","+","+","+","+","-","-","+","-","+","+"
"S4","I58","+","+","+","+","-","+","-","+","-","-","-","-","+","+","+","-","-","-","-","+","-","-","-","-","+","-","+","-","-"
"S5","I58","-","-","+","+","+","+","-","+","+","-","+","+","+","-","-","-","-","+","+","-","-","+","-","-","-","+","+","-","-"
"S1","I59","-","+","-","+","+","+","+","-","+","-","-","+","-","+","-","-","-","+","+","+","-","-","-","-","+","-","+","+","+"
"S2","I59","+","+","-","-","-","+","+","-","+","-","+","-","+","+","-","+","+","-","-","-","-","-","+","-","+","-","+","+","+"
"S3","I59","-","-","-","-","-","-","+","+","-","+","+","+","-","+","-","-","+","+","-","-","-","+","+","+","+","-","+","+","+"
"S4","I59","+","-","+","+","-","+","-","+","-","-","-","+","-","-","-","+","-","+","+","+","-","+","-","-","+","+","+","+","-"
"S5","I59","+","+","+","-","+","-","-","+","-","-","+","+","-","-","-","-","-","-","-","-","+","-","+","+","-","+","-","-","+"
"S1","I60","+","-","+","+","+","-","+","-","+","-","+","+","+","-","-","+","+","+","+","-","+","-","+","+","-","-","-","+","-"
"S2","I60","+","-","-","+","-","+","-","+","-","+","-","+","+","+","+","+","-","-","+","+","-","+","-","+","-","-","-","-","+"
"S3","I60","+","-","-","-","-","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","-","+","-","+","+","-","-","-","-"
"S4","I60","+","-","-","-","+","-","-","-","+","+","+","+","+","+","+","-","+","-","+","+","-","-","+","+","-","+","+","+","+"
"S5","I60","-","-","-","+","-","-","+","-","-","-","-","+","-","+","-","+","-","+","-","+","+","-","+","-","-","-","+","+","+"
"S1","I61","-","-","-","-","-","+","-","-","-","-","-","-","+","-","+","-","+","-","+","-","+","+","-","-","+","-","-","+","-"
"S2","I61","-","+","+","-","+","+","+","+","-","+","+","+","-","-","-","-","+","-","+","-","-","+","+","+","-","-","+","-","+"
"S3","I61","-","+","-","+","+","-","+","+","-","-","-","-","+","+","-","-","+","-","+","+","-","+","-","-","-","+","+","+","+"
"S4","I61","-","-","-","-","-","+","+","-","+","-","+","-","+","-","+","-","+","-","+","+","+","+","+","-","+","-","-","+","-"
"S5","I61","-","-","-","+","+","+","+","-","+","+","+","-","+","+","-","-","+","+","+","-","-","+","-","+","-","-","+","+","+"
"S1","I62","-","-","+","+","-","-","+","+","+","+","+","+","-","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","+"
"S2","I62","+","-","-","+","-","+","-","+","-","-","-","-","+","-","+","+","+","+","-","-","-","-","-","-","-","+","-","+","-"
"S3","I62","+","-","+","-","+","-","-","+","+","+","-","-","+","+","-","-","-","+","+","+","+","+","-","+","-","-","-","-","-"
"S4","I62","-","-","-","-","+","+","-","-","+","-","+","-","-","+","-","-","+","-","-","+","+","-","-","+","-","-","+","-","+"
"S5","I62","+","-","+","-","+","+","-","+","+","-","-","+","-","-","-","-","+","-","+","-","+","-","-","-","-","-","-","+","-"
"S1","I63","+","+","+","+","+","-","+","+","+","+","+","-","-","+","+","-","-","+","-","+","-","-","-","-","-","+","-","+","+"
"S2","I63","-","-","+","+","+","+","+","+","+","+","-","-","-","+","+","-","-","-","+","-","-","-","-","+","+","-","+","-","-"
"S3","I63","+","-","-","-","+","-","+","+","-","-","+","+","-","-","+","-","+","+","+","+","+","-","-","-","+","-","+","+","-"
"S4","I63","-","-","+","-","+","+","-","-","-","-","+","-","-","-","-","-","+","-","-","-","-","+","+","-","-","+","-","+","-"
"S5","I63","+","-","+","-","+","-","+","-","+","+","+","+","-","+","-","-","+","-","-","+","+","-","+","-","+","+","-","+","+"
"S1","I64","+","-","+","-","-","-","+","-","-","+","+","+","-","+","-","-","-","-","-","+","-","+","+","+","+","+","+","+","-"
"S2","I64","-","+","+","-","+","+","-","-","+","+","-","+","-","+","-","+","+","+","+","-","+","+","+","-","+","+","+","+","+"
"S3","I64","+","-","+","-","+","-","-","+","-","+","-","-","+","-","+","+","-","+","+","-","+","-","+","+","-","+","-","-","+"
"S4","I64","+","+","-","+","-","+","-","-","+","+","+","+","-","+","+","-","-","-","+","-","-","+","-","-","-","+","-","-","+"
"S5","I64","-","+","+","-","-","+","+","+","-","-","-","-","+","-","-","-","-","+","-","-","-","+","+","-","-","+","-","+","+"
"S1","I65","-","+","+","-","+","+","-","-","+","+","+","+","+","+","+","-","+","-","-","-","-","+","-","-","-","+","-","+","+"
"S2","I65","+","+","-","-","+","+","-","-","-","-","+","+","+","+","+","-","+","-","+","-","-","+","-","-","-","-","+","+","-"
"S3","I65","+","+","+","-","+","+","-","+","+","-","+","+","+","-","-","+","+","-","-","+","-","-","+","+","-","+","+","+","-"
"S4","I65","+","-","-","+","+","+","-","+","+","+","+","+","-","+","-","+","+","+","+","+","+","-","+","+","-","-","+","-","-"
"S5","I65","-","+","-","+","-","-","+","+","+","-","-","+","+","+","-","-","+","+","+","-","+","-","-","-","+","-","-","+","+"
"S1","I66","-","-","+","-","+","+","-","+","-","-","+","-","-","+","-","-","-","+","-","+","+","-","+","+","+","-","-","+","+"
"S2","I66","+","-","-","-","+","-","+","-","-","+","+","-","+","-","-","+","+","+","-","+","+","+","-","+","-","-","+","+","+"
"S3","I66","-","-","-","-","-","+","+","-","-","-","-","-","-","+","-","-","+","+","-","-","-","-","+","-","-","+","+","+","+"
"S4","I66","+","+","+","+","-","-","-","+","+","-","+","-","-","-","+","+","+","-","-","-","+","-","+","-","-","-","+","-","+"
"S5","I66","+","-","-","-","+","+","-","+","-","+","-","-","-","+","-","+","+","+","-","+","+","+","+","-","+","+","-","-","-"
"S1","I67","+","+","+","+","+","+","+","+","+","-","-","-","-","-","-","+","-","-","-","+","+","+","+","+","+","-","-","-","-"
"S2","I67","+","-","-","+","+","+","+","+","+","+","-","+","-","+","+","-","+","-","-","-","+","+","+","+","-","+","+","+","-"
"S3","I67","-","+","+","+","-","+","+","+","+","+","+","-","-","-","-","+","-","+","-","-","-","+","+","+","+","+","+","-","+"
"S4","I67","-","+","-","+","-","+","+","-","-","+","-","-","-","-","+","+","-","-","+","+","-","-","-","+","+","-","-","+","+"
"S5","I67","+","-","+","-","-","+","-","+","+","-","+","+","-","-","-","+","-","+","+","-","-","+","+","-","-","-","+","+","+"
"S1","I68","-","-","+","-","-","-","-","+","+","+","+","-","-","+","+","+","-","-","-","-","-","-","-","-","+","+","-","+","+"
"S2","I68","-","-","-","+","-","-","+","-","+","+","-","-","+","-","-","-","-","+","-","+","-","+","+","+","+","+","-","+","+"
"S3","I68","+","+","-","+","-","-","+","-","-","-","+","-","+","-","-","-","-","+","-","+","-","-","-","+","+","+","-","+","+"
"S4","I68","-","-","+","-","-","-","-","+","-","-","+","-","-","-","-","+","+","+","+","-","+","+","-","+","+","+","-","+","+"
"S5","I68","+","-","+","-","+","+","+","-","+","+","-","+","-","+","+","+","+","-","-","-","-","+","+","-","+","+","+","+","+"
"S1","I69","-","+","+","+","+","+","-","-","-","+","+","-","+","+","+","-","-","+","+","-","-","+","+","+","+","-","-","+","-"
"S2","I69","+","-","-","+","-","-","+","-","+","-","+","+","+","+","-","+","+","+","+","+","+","+","+","-","-","-","-","+","+"
"S3","I69","+","-","-","-","-","+","-","+","-","+","-","+","+","-","-","-","+","-","+","+","-","+","-","-","-","+","+","+","-"
"S4","I69","+","+","-","-","+","-","-","-","-","+","+","+","-","+","+","+","+","+","+","+","+","-","+","-","+","-","-","+","+"
"S5","I69","-","-","+","+","+","+","-","-","+","+","-","+","+","-","-","-","-","+","-","+","+","-","-","-","-","-","+","-","-"
"S1","I70","+","+","+","+","-","+","+","+","-","+","+","+","+","+","+","-","-","-","+","+","-","+","-","+","-","+","+","-","+"
"S2","I70","-","+","-","-","-","+","+","-","+","-","+","-","+","-","-","+","+","+","+","+","-","+","+","-","-","+","+","-","+"
"S3","I70","+","-","+","-","-","-","-","-","+","-","-","+","-","+","-","+","-","-","-","-","-","+","-","-","+","+","+","-","+"
"S4","I70","+","-","-","-","+","-","+","-","-","+","+","-","-","+","+","-","+","+","-","+","+","-","+","+","+","-","-","+","+"
"S5","I70","-","+","+","-","-","-","+","+","-","-","+","+","+","-","+","+","+","+","-","-","+","-","+","+","-","+","-","+","-"
"S1","I71","-","-","+","-","+","-","+","+","+","+","-","-","-","-","-","+","-","+","-","+","-","+","-","-","+","+","-","+","-"
"S2","I71","-","+","-","-","+","-","+","+","-","+","+","+","+","+","-","+","+","-","-","-","-","-","-","+","+","-","+","+","-"
"S3","I71","-","-","-","-","-","+","+","-","+","-","-","-","+","-","-","+","-","-","+","-","-","+","+","+","+","+","+","+","+"
"S4","I71","+","-","+","-","+","-","-","-","+","+","-","+","-","-","+","-","-","-","-","+","-","+","+","-","-","+","+","-","-"
"S5","I71","-","-","+","+","+","-","-","+","+","-","+","+","+","+","+","-","+","-","+","-","+","-","-","-","-","-","+","+","+"
"S1","I72","-","-","+","-","-","+","-","+","+","+","-","-","+","+","+","-","+","-","-","-","-","-","-","-","+","+","-","+","+"
"S2","I72","-","-","-","+","+","-","+","+","+","+","+","-","-","+","-","-","-","-","+","+","-","+","-","-","+","-","+","+","+"
"S3","I72","-","-","+","-","+","+","+","+","-","-","+","-","-","-","-","+","+","+","+","-","+","+","-","+","+","-","-","-","+"
"S4","I72","+","-","+","-","-","-","+","+","-","-","+","-","+","+","-","+","-","+","+","-","+","+","+","-","+","+","-","+","-"
"S5","I72","-","-","+","-","-","+","+","-","-","-","+","-","+","-","-","-","-","+","-","+","+","-","+","+","+","-","+","-","+"
"S1","I73","-","+","-","-","+","-","+","+","+","+","+","-","-","-","+","+","+","+","+","-","-","+","-","-","-","+","+","+","+"
"S2","I73","+","-","-","+","+","-","+","-","+","-","-","+","-","-","-","+","-","+","-","-","-","+","+","+","+","+","+","+","+"
"S3","I73","+","+","+","+","+","-","+","-","-","-","-","+","-","-","+","-","+","+","-","+","-","-","+","+","-","-","+","+","+"
"S4","I73","+","-","-","-","+","+","+","+","-","+","+","-","-","+","+","+","-","+","-","-","+","+","-","+","+","-","+","+","-"
"S5","I73","-","+","-","-","-","-","-","+","+","-","+","-","-","-","-","-","+","-","-","+","-","+","+","-","-","-","+","-","+"
"S6","I73","+","-","-","-","+","-","+","-","-","+","-","+","+","-","-","+","-","-","-","-","+","+","-","+","+","-","-","-","-"
"S1","I74","+","+","+","-","-","-","-","+","-","-","+","-","-","+","+","+","-","-","+","-","-","-","+","+","-","-","+","-","+"
"S2","I74","-","+","-","-","+","+","-","+","+","+","-","-","-","+","-","+","+","-","-","-","+","-","+","+","-","-","-","-","+"
"S3","I74","-","-","-","+","+","+","+","-","+","-","+","-","+","-","-","+","+","+","-","-","+","+","+","-","-","-","+","+","+"
"S4","I74","+","-","+","+","+","-","+","-","+","-","+","+","+","+","-","+","-","+","+","-","-","-","-","+","-","-","+","+","-"
"S5","I74","+","-","+","+","-","-","-","+","+","-","+","+","-","-","+","-","-","-","+","+","+","+","+","-","-","+","+","-","+"
"S6","I74","+","+","+","+","-","+","+","+","-","+","-","-","-","+","+","-","+","-","+","+","-","-","-","-","-","+","-","+","-"
"S1","I75","-","-","-","-","+","+","-","-","-","-","+","+","+","-","-","-","-","-","+","-","+","-","+","+","+","-","+","-","+"
"S2","I75","-","-","-","-","-","-","-","+","-","+","+","-","-","-","-","+","+","-","+","-","+","-","+","+","+","+","+","+","-"
"S3","I75","-","-","-","+","-","-","+","+","-","-","-","+","-","-","-","-","-","+","+","+","+","-","-","+","-","+","+","-","-"
"S4","I75","-","+","-","-","+","-","+","+","+","-","+","-","+","+","+","+","-","+","+","-","-","-","-","+","+","+","+","-","+"
"S5","I75","+","-","+","-","-","-","+","+","-","-","-","+","-","+","+","+","+","-","+","-","+","+","+","-","-","-","-","-","-"
"S6","I75","+","-","-","+","-","+","+","+","+","+","+","+","+","+","+","+","-","+","-","+","-","+","-","-","+","+","+","-","-"
"S1","I76","-","+","+","+","-","+","-","+","+","-","-","+","-","+","+","-","-","+","-","-","+","-","+","-","+","+","-","-","+"
"S2","I76","+","-","+","-","+","+","-","+","-","-","-","+","+","-","-","-","-","-","+","+","-","-","-","-","+","+","-","-","+"
"S3","I76","+","+","-","+","-","+","+","+","+","+","+","-","+","+","-","+","+","-","+","-","+","+","+","-","-","+","+","-","-"
"S4","I76","+","+","-","-","+","+","+","+","-","-","+","-","+","-","-","+","-","+","+","-","-","+","+","+","+","+","-","-","-"
"S5","I76","-","-","+","-","+","-","-","-","+","-","+","+","+","-","-","-","-","-","-","-","+","+","-","-","+","+","+","-","+"
"S6","I76","+","-","+","-","-","+","+","+","-","+","-","-","-","-","+","+","-","-","+","-","+","-","-","+","-","-","-","-","-"
"S1","I77","-","-","+","+","+","+","+","-","-","-","-","+","-","+","+","+","-","+","+","-","+","-","+","+","-","-","-","-","+"
"S2","I77","+","+","+","+","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","+","-","-","-"
"S3","I77","+","+","-","+","-","+","-","+","-","+","-","+","+","-","+","+","-","+","-","-","+","-","-","-","+","+","+","-","-"
"S4","I77","-","+","-","-","+","-","+","-","+","-","-","-","+","-","+","+","-","+","+","-","-","+","+","+","-","-","+","-","+"
"S5","I77","-","+","+","+","-","+","+","-","+","-","-","-","+","+","+","-","+","-","+","+","+","-","+","-","+","+","-","-","+"
"S6","I77","+","+","-","-","+","+","+","-","+","-","-","+","+","-","-","-","-","-","+","+","+","+","+","-","-","+","+","+","-"
"S1","I78","-","+","+","+","-","-","-","+","-","+","-","-","+","-","-","+","+","-","+","-","+","-","-","+","-","+","+","-","-"
"S2","I78","-","-","+","+","-","+","+","+","-","-","-","+","+","+","+","-","-","+","+","-","+","+","+","+","+","-","+","-","-"
"S3","I78","+","+","-","-","-","+","+","+","-","-","+","-","+","-","-","-","-","+","-","+","-","+","+","+","+","+","-","-","-"
"S4","I78","+","-","+","+","+","-","+","-","-","+","+","-","+","-","+","-","+","+","+","+","+","-","-","+","-","+","+","+","-"
"S5","I78","-","-","+","+","-","-","-","+","-","+","-","+","+","-","-","+","+","-","-","-","-","-","-","-","+","-","-","+","-"
"S6","I78","+","-","-","-","+","+","-","-","-","-","+","+","-","+","+","-","+","-","-","-","-","+","+","+","-","+","-","-","-"
"S1","I79","+","-","+","-","+","-","+","-","+","-","-","-","-","-","-","+","-","+","+","-","-","-","+","-","+","+","+","-","+"
"S2","I79","+","-","-","-","-","-","-","-","+","-","+","+","-","-","-","+","+","-","+","-","+","+","-","+","+","+","+","+","+"
"S3","I79","-","-","+","+","+","+","+","-","-","+","-","+","-","-","-","-","+","-","-","+","+","-","+","+","+","+","-","+","-"
"S4","I79","+","+","-","-","+","+","-","+","-","+","+","-","-","-","-","+","-","-","-","+","+","+","+","+","-","+","-","+","+"
"S5","I79","+","-","-","+","+","-","+","-","-","+","-","+","-","-","+","-","+","+","-","-","-","+","-","+","-","+","+","-","+"
"S6","I79","-","-","-","+","-","-","-","+","+","+","-","+","+","-","+","+","-","+","+","+","+","+","+","+","+","+","-","+","-"
"S1","I80","-","+","-","+","-","+","-","-","-","-","+","-","-","+","+","-","+","+","-","+","-","-","+","-","-","-","+","-","+"
"S2","I80","-","-","+","-","-","-","+","+","+","+","-","+","+","-","-","-","-","+","-","-","+","-","-","+","-","-","-","-","+"
"S3","I80","+","+","-","+","-","-","+","-","-","-","-","+","+","+","+","-","-","+","-","-","-","-","+","-","-","-","+","+","-"
"S4","I80","-","+","-","+","-","-","+","+","+","-","-","-","+","-","+","-","-","+","+","-","+","+","+","-","+","+","-","-","+"
"S5","I80","-","-","+","+","+","+","-","-","-","-","+","+","+","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","-"
"S6","I80","-","+","+","-","+","+","+","+","-","-","+","-","-","-","+","+","+","+","+","+","+","-","+","+","-","-","+","+","+"
"S1","I81","+","-","+","+","+","+","-","+","+","+","-","+","-","+","-","+","-","+","-","+","-","+","+","+","+","+","+","+","+"
"S2","I81","-","+","-","+","+","-","-","+","-","-","+","-","+","+","+","+","+","+","-","-","+","-","-","-","-","+","+","+","+"
"S3","I81","-","-","+","+","+","+","+","+","-","+","+","+","-","+","-","+","-","+","+","+","-","+","+","-","-","+","-","+","+"
"S4","I81","+","+","-","+","-","-","-","+","-","-","-","+","-","+","-","+","-","-","-","+","+","+","-","-","+","+","+","+","-"
"S5","I81","+","-","+","+","+","-","+","-","-","+","+","-","-","+","+","-","-","+","-","+","+","-","-","-","+","+","-","+","+"
"S6","I81","+","-","+","-","-","-","-","-","-","+","+","+","-","-","+","-","-","-","+","+","-","+","+","+","+","+","-","+","-"
"S1","I82","+","-","+","-","-","+","-","+","-","-","+","-","-","+","-","-","-","+","-","+","+","-","+","+","+","+","-","-","-"
"S2","I82","-","-","+","-","+","+","-","+","-","+","-","+","-","-","+","+","-","+","-","-","-","-","+","+","-","+","-","-","-"
"S3","I82","+","+","+","+","-","-","-","-","-","+","+","+","-","-","+","+","-","-","-","+","-","-","+","-","+","+","+","-","+"
"S4","I82","+","+","+","+","+","-","+","-","-","+","-","+","-","-","+","-","-","-","+","-","+","-","-","+","+","+","-","-","+"
"S5","I82","-","+","-","-","+","-","+","+","+","+","-","+","+","+","-","+","+","+","+","+","-","+","+","+","+","-","+","+","+"
"S6","I82","+","+","+","-","+","-","-","-","+","+","-","-","-","-","-","-","+","-","-","+","-","-","+","+","+","-","+","-","+"
"S1","I83","+","+","+","-","+","-","-","-","-","-","+","-","-","-","+","+","+","-","-","+","-","+","-","-","-","-","-","+","+"
"S2","I83","+","-","+","-","+","+","-","+","+","-","-","+","+","-","+","-","+","-","-","+","-","+","-","-","-","+","+","+","-"
"S3","I83","+","+","+","+","+","+","-","+","-","-","-","+","-","+","+","+","-","-","-","+","+","+","+","+","+","+","+","-","-"
"S4","I83","+","-","-","+","-","-","-","+","+","-","-","+","-","-","-","+","-","-","-","-","+","-","-","+","+","-","+","+","+"
"S5","I83","+","+","+","+","+","+","-","+","-","-","+","-","+","+","-","-","-","-","-","-","-","+","-","+","+","+","-","-","+"
"S6","I83","+","+","-","-","-","-","+","-","+","-","+","-","-","+","-","+","-","-","-","-","-","+","+","-","+","+","-","+","-"
